ID,Name,Level,ItemType,Rareness,Clan,Description1,Description2,Description3,LevelRequirement,HonorPointReq,PurchasePrice,SalePrice,DisplayItem2D,Strength,Dexterity,Vitality,Chi,Luck,Damage,Defense,LightDamage,ShadowDamage,DarkDamage,LightResistance,ShawdowResistance,DarkResistance,ChancetoHit,ChancetoDodge,PercentToDeadlyBlow,ValueType,Value1,SkillBonusID1,SkillBonusID2,SkillBonusID3,SkillBonusAmount1,SkillBonusAmount2,SkillBonusAmount3
1,Silver,1,1,1,1,,,,0,0,4,3,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HP Pill (S),1,2,1,1,Health Recovery : 35,Place in the pillbar,,0,0,9,3,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0
3,HP Pill (M),1,2,1,1,Health Recovery : 353,Place in the pillbar,,0,0,90,30,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,353,0,0,0,0,0,0
4,HP Pill (L),1,2,1,1,Health Recovery : 707,Place in the pillbar,,0,0,270,90,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,707,0,0,0,0,0,0
5,Light Dagger,1,13,1,2,,,,1,-999,4,3,181,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Light Stiletto,1,14,1,2,,,,1,-999,4,3,211,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Light Throwing Marble,1,15,1,2,,,,1,-999,4,3,241,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Robe,1,9,1,2,,,,1,-699,4,3,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Wrist Gloves,1,10,1,2,,,,1,-399,4,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Black Leather Boots,1,12,1,2,,,,1,-299,4,3,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Light Katana,1,16,1,3,,,,1,-999,4,3,451,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Light Double Blade,1,17,1,3,,,,1,-999,4,3,481,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Light Lute,1,18,1,3,,,,1,-999,4,3,511,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Tiger Robe,1,9,1,3,,,,1,-699,4,3,301,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Buddhist Gloves,1,10,1,3,,,,1,-399,4,3,361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,Buddhist Black Boots,1,12,1,3,,,,1,-299,4,3,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Yaksa Large Blade,1,19,1,4,,,,1,-999,4,3,721,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Yaksa Long Blade,1,20,1,4,,,,1,-999,4,3,751,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Bronze Scepter,1,21,1,4,,,,1,-999,4,3,781,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Light Leather Armor,1,9,1,4,,,,1,-699,4,3,571,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Yaksa Gloves,1,10,1,4,,,,1,-399,4,3,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Yaksa Light Boots,1,12,1,4,,,,1,-299,4,3,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,HP Tablet (S),1,2,1,1,Health recovery : 30%,Place in the pillbar,,0,0,600,200,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,0
24,HP Tablet (M),1,2,1,1,Health recovery : 60%,Place in the pillbar,,0,0,1200,400,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0
25,HP Tablet (L),1,2,1,1,Health recovery : 90%,Place in the pillbar,,0,0,1800,600,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0
26,MP Pill (S),1,2,1,1,Chi recovery : 25,Place in the pillbar,,0,0,100,33,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0
27,MP Pill (M),1,2,1,1,Chi recovery : 252,Place in the pillbar,,0,0,190,63,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,252,0,0,0,0,0,0
28,MP Pill (L),1,2,1,1,Chi recovery : 505,Place in the pillbar,,0,0,300,100,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,505,0,0,0,0,0,0
29,MP Tablet (S),1,2,1,1,Chi recovery : 30%,Place in the pillbar,,0,0,800,266,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0
30,MP Tablet (M),1,2,1,1,Chi recovery : 60%,Place in the pillbar,,0,0,1600,533,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0,0,0
31,MP Tablet (L),1,2,1,1,Chi recovery : 90%,Place in the pillbar,,0,0,2400,800,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90,0,0,0,0,0,0
32,Rejuvenation Tablet (S),1,2,1,1,Recover 30% Health & Chi,Place in the pillbar,,0,0,1700,566,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0
33,Rejuvenation Tablet (M),1,2,1,1,Recover 60% Health & Chi,Place in the pillbar,,0,0,3400,1133,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0,0,0
34,Rejuvenation Tablet (L),1,2,1,1,Recover 90% Health & Chi,Place in the pillbar,,0,0,5100,1700,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90,0,0,0,0,0,0
35,Gourd,10,6,1,1,When equipped,Use Q to use,,10,-290,1000,333,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Liquor Bottle,17,6,1,1,When equipped,Use Q to use,,17,-283,2300,766,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Jade Bottle,24,6,1,1,When equipped,Use Q to use,,24,-276,6670,2223,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Lacquered Bottle,31,6,1,1,When equipped,Use Q to use,,31,-269,15370,5123,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Gold Plated Bottle (M),38,6,1,1,When equipped,Use Q to use,,38,-262,28930,9643,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Whirlwind,30,5,2,2,1/35 Skillpoints,Sword Single Hit,Attack Range 2M / 2M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dragon Blade,30,5,2,2,1/35 Skillpoints,Sword Multi-Hits (4),Attack Range 2M / 2M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Devil's Strike,30,5,2,2,1/35 Skillpoints,Blade Single Hit,Attack Range 2M / 2M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Flash of Rage,30,5,2,2,1/35 Skillpoints,Blade Multi-Hits (3),Attack Range 2M / 2M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dragon Typhoon,30,5,2,2,1/35 Skillpoints,Marble Single-Hit ,Attack Range 8M / 12M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Four Gods' blows,30,5,2,2,1/35 Skillpoints,Marble Multi-Hit (4),Attack Range 8M / 12M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Dark Glimmer,30,5,2,3,1/35 Skillpoints,Katana Single Hit,Attack Range 2M / 2M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Rain of Arrows,30,5,2,3,1/35 Skillpoints,Katana Multi-Hit (4),Attack Range 2M / 2M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Dragon's Whirl,30,5,2,3,1/35 Skillpoints,Double Blade Single Hit,Attack Range 1M / 1M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Dark Typhoon,30,5,2,3,1/35 Skillpoints,Double Dlade,Attack Range 1M / 1M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Frozen Thunder,30,5,2,3,1/35 Skillpoints,Lute single-Hit,Attack Range 8M / 12M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
