ID,Name,Description1,Description2,Description3
1,"은화","","",""
2,"체력환(소)","체력을 35 수치 만큼","회복합니다.",""
3,"체력환(중)","체력을 353 수치 만큼","회복합니다.",""
4,"체력환(대)","체력을 707 수치 만큼","회복합니다.",""
5,"표맹단검","","",""
6,"표맹세도","","",""
7,"표맹투옥","","",""
8,"무복","","",""
9,"호완","","",""
10,"흑피화","","",""
11,"표맹태도","","",""
12,"표맹쌍섬","","",""
13,"표맹오현","","",""
14,"범무의","","",""
15,"범무호완","","",""
16,"범무흑피화","","",""
17,"야차용대도","","",""
18,"야차용장도","","",""
19,"청동저","","",""
20,"경피갑","","",""
21,"야차용호완","","",""
22,"야차용목화","","",""
23,"체력단(소)","체력을 30% 를","회복 시켜줍니다.",""
24,"체력단(중)","체력을 60% 를","회복 시켜줍니다.",""
25,"체력단(대)","체력을 90% 를","회복 시켜줍니다.",""
26,"공력환(소)","공력을 25","회복 시켜줍니다.",""
27,"공력환(중)","공력을 252","회복 시켜줍니다.",""
28,"공력환(대)","공력을 505","회복 시켜줍니다.",""
29,"공력단(소)","공력을 30%","회복 시켜줍니다.",""
30,"공력단(중)","공력을 60%","회복 시켜줍니다.",""
31,"공력단(대)","공력을 90%","회복 시켜줍니다.",""
32,"회복단(소)","체력과 공력을 30%","회복 시켜줍니다.",""
33,"회복단(중)","체력과 공력을 60%","회복 시켜줍니다.",""
34,"회복단(대)","체력과 공력을 90%","회복 시켜줍니다.",""
35,"호리병","장착을 한 뒤","단축키 Q로 사용가능",""
36,"주호","장착을 한 뒤","단축키 Q로 사용가능",""
37,"녹옥주호","장착을 한 뒤","단축키 Q로 사용가능",""
38,"칠기주호","장착을 한 뒤","단축키 Q로 사용가능",""
39,"금박호리병","장착을 한 뒤","단축키 Q로 사용가능",""
40,"백련회선","백도십삼천","검 전용 ","4초식 무공"
41,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
42,"참마천격","백도십삼천","도 전용 ","4초식 무공"
43,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
44,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
