ID,Name,Chat1,Chat2,Chat3,Chat4,Chat5
1,"도원호법 관상","왜 검황께서 오무자 중 서열 1위인 줄 아느냐?", ""그것은 바로 그 분이 협, 의, 인을 모두 완성하셨기"", ""때문이지. 사실 강호는 정, 사, 마로 나뉘어졌지만"", "이 세상에는 절대 악도 절대 선도 없는 게 이치다. ", "그 분은 그걸 깨달아서 경지에 오르신 게야."
2,"금붕무사","혹시 금호군에 대해서 들어보셨습니까?", "저희와는 다르게 검황 어르신의 호위를 맡고 있는", "호위무사들이죠. 충원호법이신 용검천 대인의 지휘", "아래 쟁쟁한 인물들이 많습니다.", ""
3,"금붕무사","금호군에는 엄격한 규율이 있지.", "아마 자네하고 이야기 하는것조차 ", "내용에 따라서 문책받을 수 있네.", "그러니 한가해서 클릭한거라면", "대화창을 닫아주게."
4,"송정검객 고원호","충원호법인 용검천 공의 검법은 실로 대단하지.", "그분의 검에는 천주이신 검황 어르신을 향한 충의가", "담겨있네. 초식의 깨끗함으로 따지자면 그분의 검은", "절대 검황 어르신께 뒤지지 않는다네.", "나는 그 분들에 비하면 부끄럽게도 한참 멀었네."
5,"군자도 위천삼","여어!! 자네 근골이 아주 좋군!! 와하하하!!", "선필도법을 배우기에 가장 적합한 체격이야!!", "어떤가? 진정한 사나이의 무기인 칼을 잡아볼 생각은", "없나?", ""
6,"청면판관 송재","남아의 주먹에는 강한 신념이 깃들어 있어야 한다네.", "자네의 그 두 주먹에는 어떤 신념이 담겨 있는가?", "노부의 주먹은 바로 악한 자들에게 괴롭힘을 당하는", "사람들을 위한 거라네.", ""
7,"삼묘선생 서문구권","천리마란 것은 정말 영물 중의 영물이라네.", "나의 스승님께서는 오래 전부터 이 영물을 사육하는", "방법을 연구하신 끝에 마침내 천리마를 사육하는 데", "성공하셨다네.", ""
8,"금붕무사 수장 벽서호","사대호법 중 대원호법 황대언 어르신의 지혜는 정말", "누구도 뛰어넘을 수가 없을 걸세. 듣자하니 파천련의", "모용생이란 자가 그분과 쌍벽을 이룬다고 하지만..", "강호인들은 이를 와룡봉추라고 부른다지?", ""
9,"무명도인","빈도의 이름은 알아 무엇하겠소?", "이미 도를 얻기 위해 출가하면서 이름이란 것은", "모두 버렸다오. 그냥 편한대로 무명도인이라 불러", "주시오.", ""
10,"장생의원 공손현","노부가 약초와 더불어 산 지 벌써 몇 십 년이 흘렀", "지만 아직까지도 이 세상에는 노부가 못 본 괴이한", "약초도 많이 있다네. 혹시 자네가 어디서 귀한 약초를", "구한다면 노부에게 팔게나.", ""
11,"연완랑 위소약","제 장사 수완이 노련하다고요?", "호호호.. 철이 들 때부터 표맹에서 집중적인 훈련을", "받았으니 그럴 수밖에요... 이렇게 웃는 표정까지도", "고도의 훈련을 받는답니다. 그러다보면 어느 게 진짜", "내 얼굴인가를 잊어버릴 때가 많아요."
12,"표맹철공 견봉","가끔 철공이라고 우습게 보는 손님들도 있다네.", "그런 놈들은 꼭 내 일하는 데에 온갖 시비를 다 걸지.", "이래 뵈도 나도 한때는 강호에 굴러먹던 몸이라고.", "그런 놈들을 패주는 일은 아무것도 아니라네.", "하하하하.."
13,"방랑노걸 구철","이 구철이 군웅성에 들어앉은 지도 벌써 십년이나", "되는구랴!! 이제는 군웅성 담벼락에 개구멍이 몇 개나", "있는지 눈 감고도 다 찾아낼 수 있을 정도가 되었소.", "헐헐헐..", ""
14,"금붕무사","혹시 금호군에 대해서 들어보셨습니까?", "저희와는 다르게 검황 어르신의 호위를 맡고 있는", "호위무사들이죠. 충원호법이신 용검천 대인의 지휘", "아래 쟁쟁한 인물들이 많습니다.", ""
15,"금붕무사","패왕파천련에도 우리처럼 도제를", "호위하고 있는 무사들이 있다고 들었습니다.", "물론 그럴일은 없겠지만 그들과 순수하게", "서로의 무술을 겨뤄봤으면 합니다.", ""
16,"금붕무사","검황님을 모시는것은 큰 영광이지만", "그만큼 부담도 크답니다.", "가끔 밖에서 성문을 지키고 있는 친구들이", "부러울 때가 있어요. 하하하….", "쉿~ 그런데 이말은 비밀입니다!!"
17,"금붕무사","그… 근무중 이상무!", "휴~ 우리 대장인줄 알았잖아!", "", "", ""
18,"추적대장 정추달","본좌의 살인미소가 보고싶은가?", "소원이라면 들어주지.", "와하하하하하하하하하하하하하하하..", "와하하하하하하하하하하하하..", "와하하하하하하하하.."
19,"금붕무사",""금붕무사들은 어려서부터 같은 전술, 전투교육을"", "받습니다. 그래서 조직화된 전술에 능하지요.", "대규모 전투에서는 이렇게 조직적인 움직임은", "엄청난 위력을 발하지만 개인전투에서는", "같은급의 고수에게는 밀리는 형펀입니다."
20,"삼묘선생","그래. 무엇을 도와 줄까 젊은이?", "", "", "", ""
21,"금붕무사","금호군은 너무 엄격해… 가끔 숨이 막힐때가 있어.", "내 친구들은 우리를 부러워하지만 아마 하루도", "버티지 못할거야. 그래도 봉급날이되면 확실히", "금호군인것이 자랑스럽단 말야. 하하하!", "그나저나 다음 봉급은 언제 받나? 쩝…"
22,"개세호법 상관엽",".....", "무슨 일이냐?", "......?", "", ""
23,"호귀당원","춥지 않냐고 물었소?", "이정도 추위에 벌벌 떤다면야 어찌 패도성을 지키는", "호귀당원이라 할 수 있겠소.", "근무에 방해되니 좀 비켜주시구려.", ""
24,"호귀당원","춥지 않냐고 물었소?", "실은 매우 춥소… 젠장..", "그래도 호귀당원이라면 이정도 추위는", "아무런 문제가 되지 않소.", "걱정 마시오."
25,"오현녀 임약선","전 당주인 설위강은 누이동생의 죽음에 한 평생을", "집착하고 있었어...", "그가.. 그가 조금만 더 현실을 직시했더라면..", "나는 그를 대신해 율귀당의 당주를 맡은 임약선..", "사람들에게는 오현녀라고 불리고 있지."
26,"흑단녀 야율민","손님들 중에는 옷을 살 생각은 안하고 다른 목적으로", "오는 사람들도 많아요. 저를 힐끔힐끔 쳐다보며 기분", "나쁘게 웃는다던가 하는 사람들 말예요..", "그런 사람들은 잘 구워삶아서 꼭 비싼 옷을 사도록", "만든답니다."
27,"흑결괴걸 장죽","킁킁..", "어디서 맛있는 냄새가 나는군.", "이거 늙어 갈수록 식탐만 늘어나서 큰일이란 말이야.", "쩝쩝..", ""
28,"추룡태도 정봉","자네도 들었겠지만 난 원래 황실의 교두였네.", "수많은 병사들을 훈련시켰고 전장에 나가서도 많은", "공을 세웠지만 돌아온 건 간신배들의 멸시뿐이었어.", "훗.. 그때 도제 어른을 만나지 않았다면 지금도 썩은", "황실의 개 노릇을 하고 있었을지도 모르지."
29,"금월사신","개세호법께서는 본래 말수가 적으신 분이지.", "그분께서 예전에 밀귀당주로 계실 때는 아예 일 년", "동안 한 마디도 안하신 적도 있다네.", "지금은 많이 나아진 편이지.", ""
30,"묘수괴선","이 노파에게 무슨 볼일이라도..?", "자네의 눈빛을 보니 무언가 중요한 걸 되찾으러 왔나", "보구먼.. 에궁.. 미안하지만 자네가 누군지 기억이", "잘 안 난다오. 요즘 건망증이 더욱 심해져서 말이지..", "쯧쯧쯧.."
31,"신찰의원 예목","이 망할 놈의 북설산에서는 눈이 그치지도 않는군.", "이래서야 약초를 캐러 성 밖으로 나가기도 힘들잖아.", "자넨 뭘 보나?!! 의원 서 있는 거 처음 보나?!!", "", ""
32,"표맹철공 천림","역시 술이 떨어지면 망치질도 제대로 안된단 말이야.", "이거야 원 손이 떨려서 내 손을 망치로 내려친 적이", "한두 번이 아니니.. 허허허", "끊기는 끊어야 할텐데..", ""
33,"호귀당 수장 양평","북설산에는 단 한군데의 금지된 성역이 있지.", "낭운봉 너머에 있는 백모곡이 바로 그곳이라네.", "전설에 의하면 백모곡 안에는 한풍을 다스리는 선자가", "살고 있다고 하더군. 재미있지 않나?", ""
