id, Name, Level, Clan, QuestNumber, NextQuest, Unknown4, Unknown4a, Unknown5, InQuestDestPacket1, Unknown7, Unknown8, FromNPCID, Unknown10, Unknown11, Unknown12, Unknown13, Unknown14, ToNPCID, MonsterID, Value, Unknown17, Unknown18, RewardType, RewardValue, Text1, Text2, Text3, Text4, Text5, Text6, Text7, Text8, Text9, Text10
1,"[Way of Justice] Get rid of Ironclad Soldier Moku.",14,1,1,2,1,5,1,1021,0,4294966622,9,0,0,0,0,0,9,901,1,0,0,5,1,"You probably know the 'Moku'..","Moku must be mixed up the Ironclad Soldier now.","","","","","","Thank you. Gentleman.","","Would you come see me for just a moment?"
--,,,,,,,,,,,,,,,,,,,,,,,4,4099,"One of the detective's talented man.","Search carefully.","","","","","","Honestly, Moku was my son ","","I will be waiting."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"As you know, he's already dead..","Poor man Indeed..","","","","","","before I entered the priesthood.","","Rest for the retrained spirits..."
--,,,,,,,,,,,,,,,,,,,,,,,,,"But I feel that Moku's spirit cannot rest ","Please help him rest in peace.. .","","","","","","A priest shall not dwell about his past.","","It's to bad Moku became an Ironclad Soldier."
--,,,,,,,,,,,,,,,,,,,,,,,,,"and it's wandering around.","The Moku appears near by the willow tree ","","","","","","I just couldn't see him being that way.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Spirit is wandering in Ironclad Soldier's image ","outside the east gate.","","","","","","because of the memory of him calling me a father.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"due to the restrained Guima Skill.","","","","","","","Thank you for your gracefulness.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You need to help the spirit to rest.","","","","","","","This is for my good faith.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It won't be too hard to find him ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"since he's wandering arount the castle.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Help Moku who became an Ironclad Soldier to rest","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Moku appears near by the willow outside east gate.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
2,"[Way of Justice] Find Miss Wisoyak",16,1,2,3,1,7,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,"Hmm..heavenly master has called finally,","Hmm?","","","","","","Are you the person who's sent by Mr. Kwan?","","You must hurry there's a emergency. haha.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"you showed up? tut tut..","Why are you still there?","","","","","","Come to think of it I have heard your name before.","","Hmm.. Why is the man not coming yet...?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"You have been drinking wine and got lazy again.","Don't tell me you don't know who Miss Wisoyak is?","","","","","","Very famous within Gungsong Fortress.","","Don't have much time.. He'd make it before dawn."
--,,,,,,,,,,,,,,,,,,,,,,,,,"You should call me when there's good wine.","The pretty one who owns a clothing store ","","","","","","Heard that you are very lazy.. haha..","","Someone is coming. There's no news about him."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Faithfuless man.. ahem..","is Miss Wisoyak.","","","","","","Nice to meet you. My name is Wisoyak.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The reason why I have called you today is.","The more I see she's riped well and ","","","","","","Are you comfortable now that we know each other? ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I'll be giving you a first mission since ","stimulating the old to become young.. chuckling..","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"you seem adaptable now.. ","Oh, what am I talking about in front of my student?","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Something big will happen in The World.","Hey you!!","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Socheon's boss Yiyonung and his daughter's wedding.","What are you looking at!! Go to her now!!","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"We must handle the jewel box when it arrives.","You want to be shat on?!! Huh?!!","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"But Miss Wisoyak said that there's a problem.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"So the jewel box has not arrived yet.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You should help her.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
3,"[Way of Justice] Recover the Treasure Chest",16,1,3,4,1,2,0,0,0,0,11,0,0,0,0,0,11,501,0,0,0,6,10641,"that's because..","I heard Spear Shaman is stationed ","","","","","","whew~~","","Hey, why are you standing there doing nothing?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"the wedding dress already is ready, but","not too far from castle.","","","","","","I Was worried about the gift box being damaged..","","Hope you come back recovering the Treasure Chest."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"but the Treasure Chest hasn't arrived yet..","Don't forget the goal is not to subdue, ","","","","","","Fortunately, the Giftes inside are Safe.","","Don't work too hard."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Actually, there's news that the convoy was 	","but to recover the Treasure Chest.","","","","","","Good job..","","Just recover the Treasure Chest."
--,,,,,,,,,,,,,,,,,,,,,,,,,"ambushed by Spear Shaman.","","","","","","","Please tell Mr. Kwan that I'll bring it myself ","","It shouldn't be too difficult."
--,,,,,,,,,,,,,,,,,,,,,,,,,"The Treasure Chest might be taken away by them...","","","","","","","after i'm done decorating the gift. ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Can you recover that Treasure Chest ","","","","","","","This is for your trouble","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Retrieval Team has departed from Carrier but ..","","","","","","","see you again~~","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Will be late for the wedding day anyway.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It'll take some time to recover from Carrier.","			","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"That will be better.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
4,"[Way of Justice] Runaway troops 'Spearman' subdue.",18,1,4,5,1,1,0,0,0,0,8,0,0,0,0,0,8,6,40,0,0,4,6073,"Hey.. Friend!!","The spearman stationed nearby the castle ","","","","","","Hey friend!! Good work!!","","Hey friend!! Can you help me?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"I hear you're doing well these days.","are the defeated man on the totem pole.","","","","","","You have defeated 40 man? It's great!!","","Currently the enemies have no intension of battle."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Heard you are very popular in the Castle..","Their morales are low and they're not","","","","","","I wasn't counting on it although I asked you a ","","Be careful of the enemies because they're violent."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Huh? Is it not?!!","settled due to traveling continuesly.","","","","","","favor since you are lazy. hahaha..","","They are very tired. I'll be waiting for you!"
--,,,,,,,,,,,,,,,,,,,,,,,,,"Hmm. Someone spread a false rumor again.. haha.","This is the chance to attack.","","","","","","Don't stare at me like that. It's just a joke.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"What am I talking about? Don't have the time.","I'll be counting on you friend!!","","","","","","hahaha..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It's about.. I want you to help me..","","","","","","","Huh? My joke isn't funny? Oh..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The battle of Fujin from the north","","","","","","","Thanks. I will pay you as I have promised.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"the troops.. Do you know about it? ","","","","","","","Hope you feel better.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I have receive information about them ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"forming an army nearby the castle.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"We are ordered to subdue those foolish","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"ones who are still too ambitious.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Would you come with us?","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I owe you a big treat.","","","","","","","","",""
5,"[Way of Justice] Get the journal from Jucidal.",20,1,5,6,1,6,0,0,0,0,1,18,0,0,0,0,1,502,503,0,0,4,4314,"Glad to see you. My diciple!!","Huh? You still haven't gone?","I'm Jucidal!! ","","","","","Hahaha.. ","","Hurry heavenly master is calling."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Are you empty handed again today?","Hmm.. You want to be lazy again.. tut tut.","Many women opposed to my killer smile!!","","","","","Jucidal has a basic manner after all.","","Get the reply letter from Jucidal."
