ID,Name,Rareness,ItemType,LevelRequirement,HonorPointReq,SkillBonusID1,SkillBonusID2,SkillBonusID3,SkillBonusAmount1,SkillBonusAmount2,SkillBonusAmount3,Description2,Description3,
1,Silver,1,1,0,0,0,0,0,0,0,0,,,
2,HP Pill (S),1,2,0,0,0,0,0,0,0,0,Place in the pillbar,,
3,HP Pill (M),1,2,0,0,0,0,0,0,0,0,Place in the pillbar,,
4,HP Pill (L),1,2,0,0,0,0,0,0,0,0,Place in the pillbar,,
5,Light Dagger,1,13,1,4294966297,0,0,0,0,0,0,,,
6,Light Stiletto,1,14,1,4294966297,0,0,0,0,0,0,,,
7,Light Throwing Marble,1,15,1,4294966297,0,0,0,0,0,0,,,
8,Robe,1,9,1,4294966597,0,0,0,0,0,0,,,
9,Wrist Gloves,1,10,1,4294966897,0,0,0,0,0,0,,,
10,Black Leather Boots,1,12,1,4294966997,0,0,0,0,0,0,,,
11,Light Katana,1,16,1,4294966297,0,0,0,0,0,0,,,
12,Light Double Blade,1,17,1,4294966297,0,0,0,0,0,0,,,
13,Light Lute,1,18,1,4294966297,0,0,0,0,0,0,,,
14,Tiger Robe,1,9,1,4294966597,0,0,0,0,0,0,,,
15,Buddhist Gloves,1,10,1,4294966897,0,0,0,0,0,0,,,
16,Buddhist Black Boots,1,12,1,4294966997,0,0,0,0,0,0,,,
17,Yaksa Large Blade,1,19,1,4294966297,0,0,0,0,0,0,,,
18,Yaksa Long Blade,1,20,1,4294966297,0,0,0,0,0,0,,,
19,Bronze Scepter,1,21,1,4294966297,0,0,0,0,0,0,,,
20,Light Leather Armor,1,9,1,4294966597,0,0,0,0,0,0,,,
21,Yaksa Gloves,1,10,1,4294966897,0,0,0,0,0,0,,,
22,Yaksa Light Boots,1,12,1,4294966997,0,0,0,0,0,0,,,
23,HP Tablet (S),1,2,0,0,0,0,0,0,0,0,Place in pillbar,,
24,HP Tablet (M),1,2,0,0,0,0,0,0,0,0, Place in pillbar,,
25,HP Tablet (L),1,2,0,0,0,0,0,0,0,0, Place in pillbar,,
26,MP Pill (S),1,2,0,0,0,0,0,0,0,0, Place in pillbar,,
27,MP Pill (M),1,2,0,0,0,0,0,0,0,0, Place in pillbar,,
28,MP Pill (L),1,2,0,0,0,0,0,0,0,0, Place in pillbar,,
29,MP Tablet (S),1,2,0,0,0,0,0,0,0,0, Place in pillbar,,
30,MP Tablet (M),1,2,0,0,0,0,0,0,0,0,Place in pillbar,,
31,MP Tablet (L),1,2,0,0,0,0,0,0,0,0,Place in pillbar,,
32,Rejuvenation Tablet (S),1,2,0,0,0,0,0,0,0,0,Place in the pillbar,,
33,Rejuvenation Tablet (M),1,2,0,0,0,0,0,0,0,0,Place in the pillbar,,
