ID,Name,Level,Health,ModelID,RadiusInfo1,RadiusInfo2,WalkSpeed,RunSpeed,DeathSpeed,Damage,Defense,AttackSuccess,AttackBlock,ElementAttackPower,ElementDefensePower,Critical,clickheight,clickdepth,Unknown56,Unknown60,Unknown64,Unknown68,Unknown72,Unknown76,Unknown80,Unknown84,Unknown92,Unknown100,Unknown104,Unknown108,Unknown112,Unknown116,Unknown120,Unknown124,Unknown128,Unknown180,Unknown184,Unknown188,Unknown192,Unknown196,Unknown200,Unknown204,Unknown208,Unknown212,Unknown216,Unknown220,Unknown224,Unknown228,Unknown232,Unknown236,Unknown240,Unknown244,Unknown248,Unknown252,Unknown256,Unknown260,Unknown264,Unknown268,Unknown272,Unknown276,Unknown280,Unknown284,Unknown288,Unknown292,Unknown296,Unknown300,Unknown304,Unknown308,Unknown312,Unknown316,Unknown320,Unknown324,LightATK,ShadowATK,DarkATK,Unknown340,Unknown344,Unknown348,Unknown352,Unknown356,Unknown360,Unknown364,Unknown368,Unknown372,Unknown376,Unknown380,Unknown384,Unknown388,Unknown392,Unknown396,Unknown400,Unknown404,Unknown408,Unknown412,Unknown416,Unknown420,Unknown424,Unknown428,Unknown432,Unknown436,Unknown440,Unknown444,Unknown448,Unknown452,Unknown456,Unknown460,Unknown464,Unknown468,Unknown472,Unknown476,Unknown480,Unknown484,Unknown488,Unknown492,Unknown496,Unknown500,Unknown504,Unknown508,Unknown512,Unknown516,Unknown520,Unknown524,Unknown528,Unknown532,Unknown536,Unknown540,Unknown544,Unknown548,Unknown552,Unknown556,Unknown560,Unknown564,Unknown568,Unknown572,Unknown576,Unknown580,Unknown584,Unknown588,Unknown592,Unknown596,Unknown600,Unknown604,Unknown608,Unknown612,Unknown616,Unknown620,Unknown624,Unknown628,Unknown632,Unknown636,Unknown640,Unknown644,Unknown648,Unknown652,Unknown656,Unknown660,Unknown664,Unknown668,Unknown672,Unknown676,Unknown680,Unknown684,Unknown688,Unknown692,Unknown696,Unknown700,Unknown704,Unknown708,Unknown712,Unknown716,Unknown720,ImproveStone1_Chance,ImproveStone1_ID,ImproveStone2_Chance,ImproveStone2_ID,Unknown740,PetDropChance,PetID1,PetID2,Unknown756,Unknown760,Unknown764,Unknown768,Unknown772,Unknown776,Unknown780,Unknown784,Unknown788,Unknown792,Unknown796,Unknown800,Unknown804,Unknown808,Unknown812,Unknown816,Unknown820,Unknown824,Unknown828,Unknown832,Unknown836,Unknown840,Unknown844,Unknown848,Unknown852,Unknown856,Unknown860,Unknown864,Unknown868,Unknown872,Unknown876,Unknown880
1,Zombie Soldier,1,35,17,130,10,2,30,100,6,5,0,0,1,1,1,16,5,70,23,29,0,90,150,5,5,40,5,2,0,0,1,50,130,30,7,1,150000,4,15,200000,2,0,0,20000,26,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,10,0,0,1,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
2,Hunch Back,5,176,7,300,10,21,65,100,34,25,0,0,5,5,5,14,10,70,23,21,0,90,150,5,5,72,5,2,0,0,2,80,200,30,35,15,150000,26,31,200000,2,0,0,20000,26,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,10,0,0,1,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
3,Copper Zombie,9,636,25,130,10,2,30,100,66,45,0,0,9,9,10,16,5,70,23,31,0,90,150,5,5,104,5,2,0,0,2,50,130,30,63,28,150000,45,58,200000,2,0,0,20000,26,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,10,0,0,1,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
4,Yellow Flag Goblin,13,919,9,130,10,15,60,100,93,65,0,0,13,13,14,17,8,70,23,25,0,90,150,5,5,136,5,2,0,0,3,50,130,30,91,41,150000,69,78,200000,3,0,0,20000,27,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,10,0,0,1,45000,0,0,2250,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
5,Bandit,16,1131,15,130,10,11,50,100,120,80,0,0,16,16,17,18,8,70,23,30,0,90,150,5,5,160,5,2,0,0,4,50,130,30,113,50,150000,83,90,200000,3,0,0,20000,27,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,10000,501,0,0,0,0,0,0,0,0,10,0,0,1,45000,0,0,2250,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
6,Spear Soldier,19,1343,36,130,10,10,60,100,146,95,0,0,19,19,21,18,10,70,23,30,0,90,150,5,5,184,5,2,0,0,4,50,130,30,134,60,150000,101,103,200000,3,0,0,20000,27,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,10,0,0,1,45000,0,0,2250,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
7,Red Bandit,9,636,14,310,10,11,50,100,55,45,0,0,9,9,10,18,8,70,23,29,0,90,150,5,5,104,5,3,0,0,2,100,150,65,63,28,150000,40,51,200000,2,0,0,20000,26,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,10,0,0,1,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
8,Zombie Soldier,1,35,17,130,10,2,30,100,6,5,0,0,1,1,1,16,5,70,23,29,0,90,150,5,5,40,5,2,0,0,1,50,130,30,7,1,150000,2,13,200000,2,0,0,20000,26,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,0,10,0,1,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
9,Hunch Back,5,176,7,300,10,21,65,100,34,25,0,0,5,5,5,14,10,70,23,21,0,90,150,5,5,72,5,2,0,0,2,80,200,30,35,15,150000,24,35,200000,2,0,0,20000,26,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,0,10,0,1,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
10,Copper Zombie,9,636,25,130,10,2,30,100,66,45,0,0,9,9,10,16,5,70,23,31,0,90,150,5,5,104,5,2,0,0,2,50,130,30,63,28,150000,47,53,200000,2,0,0,20000,26,0,0,0,0,0,0,0,0,25,151,0,0,120,138,725,496,0,0,0,0,0,0,0,0,0,0,0,10,0,1,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,491,1,492,1,493,1,494,1,495,1,490,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90028,50,90029,33,30,98999,99001,0,0,0,0,0,0,0,0,0,0,1500,99209,725,490,100,99440,1250,99515,0,0,0,0,0,0,5000,99493,0,0,0,0,100,100
