ID,Name,Chat1,Chat2,Chat3,Chat4,Chat5
1,Elder Gwan,Do you know why Lord of Light Yisaejin is the best?,"It's because he's truly virtuous and righteous.","The world is divided by Guanyin, Fujin,jinong but ",there is no such thing as pure good or evil.  ,He became the best after realizing the fact.
2,Light Guard,Have you heard of the Tiger Army?,"Unlike us, they're Lord of Light bodyguards.",There are many talented people under the command,of Chungwon Upholder Mr Yong.,
3,Light Guard,Have you heard of the Tiger Army?,"Unlike us, they're Lord of Light bodyguards.",There are many talented people under the command,of Chungwon Upholder Mr Yong.,
4,Sword Trainer Koho,Manager Ong is an great swordsman.,He serves Lord of Light with all his heart.,"He's as good as Lord of Light when it comes ",sword fighting skills.,"I'm nothing compared to them."
5,Blade Trainer Wi,"Hey! You look tough. Ha, ha, ha!",You have the perfect body for Calligraphic Martial ,"How about it? Don't you want to become a",swordsman as every man should?,
6,Marble Trainer Songi,"As a man, you must have faith in your fists.",Do you have faith in your fists?,I use my fists to protect the weak from,tyrants.,
7,Yellow Gate Master Seo,The Legendary Steed is truly a sacred animal.,My teacher studied for many years to tame,"the beast, and he finally",succeeded breeding it.,
8,Guard Captain Baeck,Among Four Upholder. Manager Hwang is the,"wisest. I've heard that Mo of  ",Kings&Destroyer Alliance is as good as he is.,"People call him Lying Dragon Phoenix Chick, ",right?
9,Guild Director Tao,Why do you want to know my name?,"I've forgotten everything when I became ",a Guild Director Tao priest. Just call me the ,Guild Director Tao if you wish.,
10,Herb Master Gong,"I've been studying herbs for many decades","but there still are many strange herbs I don't ",know about. If you happen to find some rare,"herbs, sell them to me.",
11,Tailor Xaoran,"Did you say I'm good in business?","Ha, ha. It's obvious. I was trained by the",Carrier ever since I was young. They even ,taught me how to laugh. I sometimes forget,which is my real face.
12,Blacksmith Gyon,"Some customers underestimate me because I'm ",just a blacksmith. They always argue with me.,I used to be a warrior myself.,Beating them up is a piece of cake for me.,"Ha, ha, ha."
13,Antique Collector kuru,"It's already been 10 years since I came to ",Gungsong Fortress! I even know how many,dog holes are on the fortress walls.,"Ha, ha, ha.",
14,Light Guard,Have you heard of the Tiger Army?,"Unlike us, they're Lord of Light's bodyguards.",There are many talented people under the ,command of Chungwon Upholder Mr Yong.,
15,Light Guard,Have you heard of the Tiger Army?,"Unlike us, they're Lord of Light's bodyguards.",There are many talented people under the ,command of Chungwon Upholder Mr Yong.,
16,Light Guard,Have you heard of the Tiger Army?,"Unlike us, they're Lord of Light's bodyguards.",There are many talented people under the ,command of Chungwon Upholder Mr Yong.,½²~ ±×·±µ¥ ÀÌ¸»Àº ºñ¹ÐÀÔ´Ï´Ù!!
17,Light Guard,±×¡¦ ±Ù¹«Áß ÀÌ»ó¹«!,ÈÞ~ ¿ì¸® ´ëÀåÀÎÁÙ ¾Ë¾ÒÀÝ¾Æ!,,,
18,Bounty Hunter Chudal,Do you want to see me smile?,As you wish.,Wa ha ha ha ha.,Wa ha ha ha ha.,Wa ha ha ha ha!00000
19,Light Guard,"\"±ÝºØ¹«»çµéÀº ¾î·Á¼­ºÎÅÍ °°Àº Àü¼ú, ÀüÅõ±³À°À»\"",¹Þ½À´Ï´Ù. ±×·¡¼­ Á¶Á÷È­µÈ Àü¼ú¿¡ ´ÉÇÏÁö¿ä.,´ë±Ô¸ð ÀüÅõ¿¡¼­´Â ÀÌ·¸°Ô Á¶Á÷ÀûÀÎ ¿òÁ÷ÀÓÀº,¾öÃ»³­ À§·ÂÀ» ¹ßÇÏÁö¸¸ °³ÀÎÀüÅõ¿¡¼­´Â,°°Àº±ÞÀÇ °í¼ö¿¡°Ô´Â ¹Ð¸®´Â ÇüÆÝÀÔ´Ï´Ù.
20,Yellow Gate Master,±×·¡. ¹«¾ùÀ» µµ¿Í ÁÙ±î ÀþÀºÀÌ?,,,,
21,Light Guard,±ÝÈ£±ºÀº ³Ê¹« ¾ö°ÝÇØ¡¦ °¡²û ¼ûÀÌ ¸·Èú¶§°¡ ÀÖ¾î.,³» Ä£±¸µéÀº ¿ì¸®¸¦ ºÎ·¯¿öÇÏÁö¸¸ ¾Æ¸¶ ÇÏ·çµµ,¹öÆ¼Áö ¸øÇÒ°Å¾ß. ±×·¡µµ ºÀ±Þ³¯ÀÌµÇ¸é È®½ÇÈ÷,±ÝÈ£±ºÀÎ°ÍÀÌ ÀÚ¶û½º·´´Ü ¸»¾ß. ÇÏÇÏÇÏ!,±×³ªÀú³ª ´ÙÀ½ ºÀ±ÞÀº ¾ðÁ¦ ¹Þ³ª? ÂÁ¡¦
22,Elder Sangwan,.....,What do you want?,......?,,
23,Shadow Guard,"Did you ask me if I'm cold?",You cannot become a Shadow Guard and guard,"the Padsong Fortress if you can't stand it. ",Get out of my way. I have work to do.,
24,Shadow Guard,"Did you ask me if I'm cold?",You cannot become a Shadow Guard and guard,"the Padsong Fortress if you can't stand it. ",Get out of my way. I have work to do.,°ÆÁ¤ ¸¶½Ã¿À.
